x,y
2.8928,-1.70203
2.53006,-0.909161
2.67954,-0.0478552
3.59623,-0.719801
3.15341,-1.01058
4.26709,-0.225235
4.6833,-0.271572
3.92408,-0.954479
4.80827,-0.150454
4.39526,-0.292614
4.53199,-0.582874
4.68849,-0.505418
4.86535,-0.307668
4.78654,0.0493624
4.99667,-0.343236
-4.79158,-0.2275
-4.73297,0.0473155
-4.48563,0.156322
-4.01495,-0.702598
-3.79774,-0.166767
-4.33858,-0.262028
-4.23965,-0.527629
-4.08491,-0.634068
-3.85756,-0.454209
-3.73858,-0.669406
-2.75888,-0.952092
-1.87904,-0.513455
-3.67878,-0.39828
-2.10164,-0.722438
-3.51748,-1.25304
-1.65206,-2.38436
-0.480855,-1.12699
-0.635027,-2.04033
-1.14624,-2.87977
-0.0889706,-2.8759
0.747875,-1.63413
0.290556,-3.26459
1.06369,-2.83563
1.06099,-2.27436
1.45628,-3.07841
2.17743,-1.8467
2.34013,-1.95011
3.63126,-1.57701
2.09116,-1.43033
4.21233,-0.362029
3.99043,-0.699843
4.31709,-0.730729
4.04589,-0.622457
4.43261,-0.539508
4.28295,-0.165056
4.61326,-0.365783
4.87206,-0.215956
4.58118,-0.481997
4.94991,-0.142178
4.9672,-0.208842
-4.83329,-0.0904301
-4.81249,-0.158775
-4.1876,0.238269
-4.70799,-0.175861
-4.65812,-0.314323
-4.12515,-0.511864
-4.03419,-0.297462
-4.39364,-0.0324511
-2.50937,-0.546842
-3.46749,0.378164
-3.18214,-1.54189
-2.8895,-0.377939
-3.04352,-1.02049
-2.29207,0.542431
-1.92831,-1.09662
-1.99776,-0.221316
-0.816108,0.212376
-0.125229,-2.00258
-0.340777,-2.2716
-1.0689,-0.853286
0.108111,-2.27265
0.746524,-3.38478
0.566863,-0.333154
1.12509,-2.43424
2.0614,-2.72479
3.50296,-1.62293
2.23124,0.377853
2.47299,-1.71028
3.67035,-0.380901
4.07742,-0.474638
2.99868,-0.672982
4.178,-0.678228
4.14404,-0.0382856
3.93205,-0.481015
4.09655,-0.249911
4.56249,-0.11152
4.58864,-0.194714
4.71072,-0.188361
4.93161,-0.0715692
-4.85676,-0.0133228
-4.57681,-0.00818911
-4.55726,-0.302274
-4.4405,-0.190349
-4.48771,-0.010807
-3.99163,-0.157687
-4.63636,0.0793549
-3.21579,-0.514507
-4.10996,-0.187174
-3.61175,-0.96833
-3.98864,-0.832276
-3.39432,0.593456
-2.28795,-1.21213
-2.41977,-1.69632
-2.89197,-1.3911
-1.32789,-1.65924
-0.723577,-2.86048
-1.09545,-1.8671
-1.76579,0.0940659
0.161656,-2.69341
-0.442235,-2.58486
2.17456,-2.50923
2.15548,-0.972988
1.96498,-2.59309
1.59016,-1.73044
1.54313,-2.73382
3.58148,-0.513573
2.64248,-1.38217
2.98843,0.589453
3.6632,0.105084
4.49065,-0.416726
4.20973,-0.550118
4.67582,0.00475197
4.4164,-0.03269
4.69211,-0.0961797
4.48836,-0.0262014
4.7672,0.150733
4.91316,-0.000404
4.89686,0.0624707
-4.87994,0.0628244
-4.84769,0.31781
-4.85965,0.536854
-4.65011,0.558742
-3.98539,0.297728
-4.43853,-0.31552
-2.45659,-0.102246
-3.42965,-0.337831
-4.74406,-0.0459125
-4.18915,0.106712
-4.12533,-0.019327
-1.50338,-1.90141
-3.66591,-0.50754
-1.55404,0.94221
-0.816014,-0.334533
0.238451,-1.18618
-2.23257,0.156094
-1.00667,0.531979
-0.689764,-0.864694
-0.214676,-1.2384
-0.0865998,-2.5858
2.3155,-0.759183
1.63987,0.704635
0.350256,-0.0867544
1.61461,0.254338
3.62506,-1.07732
1.52862,-2.12312
3.72909,0.708554
3.11343,-0.368729
3.10954,0.286774
4.61516,0.316595
3.94516,0.366133
4.14086,-0.792338
4.62106,0.216554
4.55656,0.0206861
4.7767,-0.288881
4.80646,-0.0461846
4.87453,0.148578
-4.92479,0.210183
-4.90558,0.147065
-4.26795,-0.0605488
-4.76308,0.100983
-4.58662,0.223649
-4.09528,0.696791
-4.89659,0.423765
-4.32893,0.417318
-3.86171,0.0626997
-4.63171,0.301041
-3.61966,-0.131802
-0.0576553,-0.830811
-4.0118,0.175933
-1.52252,-0.852873
-1.53363,-0.192328
-1.27921,-2.68767
-0.938235,1.43372
-0.617689,-2.66212
-0.10241,-1.62996
0.862929,-1.95834
-1.82335,-1.99985
0.433652,-3.25988
1.593,-1.04762
0.198827,-1.69936
0.576392,-2.41553
1.195,1.51182
1.57548,1.29261
3.28135,-1.28995
3.08634,1.09983
3.32845,-0.734023
2.76763,-0.362957
4.53919,0.124009
3.9647,-0.159867
4.326,0.298159
4.1937,0.120371
4.7124,0.323477
4.43715,0.347677
4.64968,0.134384
4.84991,0.24357
-4.96306,0.335957
-4.9444,0.274638
-4.63626,-0.053552
-4.77425,0.706462
-4.74112,0.283954
-4.52126,0.81082
-4.7794,0.490299
-4.30176,0.0676664
-3.22122,0.233398
-2.4177,-0.934505
-3.06579,-1.24352
-3.95005,0.658099
-1.40993,0.494701
-1.60934,-1.33457
-3.15555,1.34484
0.0975483,0.0689293
-0.913521,-1.62155
-0.534628,0.246802
-0.217771,-0.143391
0.991232,2.41156
1.10926,0.405584
1.12772,-1.55667
1.12027,-3.30183
1.15209,2.64539
1.81791,3.28138
2.62442,0.344103
3.13593,-0.0376609
3.71505,0.378037
4.12457,0.347784
3.88697,-0.0412526
3.70126,-0.137176
3.80486,0.17003
4.31448,0.171712
4.45466,-0.172412
4.24324,0.410067
4.34899,0.054627
4.52169,0.510511
4.743,0.249883
4.82589,0.3362
-4.98446,0.406249
-4.99932,0.455094
-4.42745,0.437415
-4.80449,0.399572
-4.61463,-0.15332
-4.55744,0.449046
-4.29472,0.819847
-3.86587,0.462953
-4.67108,0.368058
-4.46888,0.331788
-3.78689,-0.279599
-2.93489,-0.764883
-4.25956,0.664139
-2.57666,1.55464
-1.37574,-0.4647
-1.79545,1.99136
-1.38392,-2.24691
-2.28838,2.1473
-0.411345,-0.641371
0.272766,0.276687
1.32732,-0.106574
0.462398,-0.847019
2.25142,-2.19325
-1.35644,0.133943
1.26174,-0.832419
2.36455,2.314
4.11757,0.422981
3.48735,0.739539
3.60725,0.31292
3.64387,1.48355
3.19921,0.91214
4.0912,0.59677
4.17251,0.235881
4.04129,0.707545
4.44951,0.43332
4.50831,0.689827
4.43031,0.19895
4.48982,0.234194
4.69685,0.408328
4.79925,0.438936
-4.97365,0.517193
-4.69272,0.196196
-4.7713,0.179588
-4.59579,0.53692
-4.28897,0.519913
-4.47618,0.915613
-3.96796,-0.0494769
-4.49926,0.561684
-4.21683,0.929111
-4.32714,0.199758
-3.19367,0.917913
-1.81678,0.451578
-1.06288,1.33153
-2.47365,1.26189
-1.23894,0.900938
-3.00092,1.25351
-1.53829,1.23623
-0.0368333,2.13038
-0.000709581,1.06757
1.58637,0.953614
1.05274,-0.403554
2.6164,1.42202
0.881248,0.638599
1.40018,3.52201
0.928164,1.47412
-0.545667,1.1301
3.00388,2.23174
3.35803,1.50313
4.39576,0.518385
3.58868,0.559357
3.8146,1.08687
4.28175,0.744043
4.01758,0.201487
3.94937,0.545568
4.28544,0.53465
4.56297,0.612844
4.57379,0.419234
4.65856,0.611673
4.77304,0.540046
